,name,Company Name,Industry,Headquarters,Country Code,Country
0,BHARBERT,,Construction,"Birmingham, AL",,
1,Sigmund Software,Sigmund Software Reviews,,,,
2,Exela Technologies,Exela Technologies Reviews,,United States,USA,United States
3,MILLS GROUP,Mills (Singapore),,"Singapore, Singapore",SGP,Singapore
4,EIITNET,I.T,,"Causeway Bay, Hong Kong",HKG,Hong Kong
5,AdaptIT,Adaptit SA,,"Athens, Greece",GRC,Greece
6,CARTEGRAPH,Cartegraph,Enterprise Software & Network Solutions,"Dubuque, IA",,
7,WWSTEELE,W&W AFCO Steel,Machinery Manufacturing,"Oklahoma City, OK",,
8,RALLYE-DOM,Rally,Internet & Web Services,"Portland, OR",,
9,SANDO,Sando,,"Málaga, Spain",ESP,Spain
10,CAN.COM,Network for Electronic Transfers Reviews,,Singapore,SGP,Singapore
11,G&P Projects And Systems S.A.,,Information Technology Support Services,"São Paulo, Brazil",BRA,Brazil
12,NUAIRE,NuAire,Machinery Manufacturing,"Caerphilly, United Kingdom",GBR,United Kingdom
13,FMT,Free Malaysia Today Reviews,,,,
14,DIRECTFERRIES,Direct Ferries,Marine Transportation,"London, United Kingdom",GBR,United Kingdom
15,Massy Distribution Limited,Massy Distribution,Retail & Wholesale,"Kingston, Jamaica",JAM,Jamaica
16,Monterey Mechanical Co.,Monterey Mechanical Company,Consumer Product Manufacturing,"Oakland, CA",,
17,MHIRE,mHire,,,,
18,KDE,KDE,Information Technology Support Services,,,
19,CITY-FURNITURE,City Furniture Reviews,,United States,USA,United States
20,AUM,AUM Biosciences,Biotech & Pharmaceuticals,"Singapore, Singapore",SGP,Singapore
21,Yachiyo Of America,Yachiyo Reviews,,,,
22,APETITO,apetito,Food & Beverage Manufacturing,"Trowbridge, United Kingdom",GBR,United Kingdom
23,Caracol TV,Caracol TV Internacional,,"Bogotá, Colombia",COL,Colombia
24,SPORTPLAZA,Singapore Sports Hub,,"Singapore, Singapore",SGP,Singapore
25,SOUCY,Soucy Reviews,,Canada,CAN,Canada
26,ChemStation International,ChemStation,Chemical Manufacturing,"Moraine, OH",,
27,Guardian Fueling Technologies,Guardian Fueling Technologies Reviews,,United States,USA,United States
28,GROUP4 AUSTRALIA,Insurance Australia Group,Insurance Carriers,"Sydney, Australia",AUS,Australia
29,Authentic Brands Group,Authentic Brands Group Reviews,,United States,USA,United States
30,Yurtiçi Kargo,Yurtiçi Kargo,Taxi & Car Services,"Istanbul, Turkey",TUR,Turkey
31,New York Racing Association,New York Racing Association Reviews,,United States,USA,United States
32,Bell Technical Solutions,Bell Technical Solutions Reviews,,Canada,CAN,Canada
33,FONTAINEBLEAU,Fontainebleau Reviews,,United States,USA,United States
34,California-Oregon Telecommunications Company,OC Communications Reviews,,United States,USA,United States
35,Eurocell,Eurocell Reviews,,United Kingdom,GBR,United Kingdom
36,NCG Medical,NCG Medical,Computer Hardware Development,"Altamonte Springs, FL",,
37,Altice International,Altice Europe,Telecommunications Services,"Amsterdam, Netherlands",NLD,Netherlands
38,Baton Rouge General,Baton Rouge General,Healthcare Services & Hospitals,"Baton Rouge, LA",,
39,TriState HVAC Equipment,Tristate Hvac Equipment,Advertising & Public Relations,"Conshohocken, PA",,
40,ENN Group,ENN Group Reviews,,Canada,CAN,Canada
41,CIMEX,Contenedores Industriales Mexicanos (CIMEX),,,,
42,Carrolls Irish Gifts,Carrolls Irish Gifts,"Gift, Novelty & Souvenir Stores","Dublin, Ireland",IRL,Ireland
43,Behavioral Health System,Mental Health Systems,Healthcare Services & Hospitals,"San Diego, CA",,
44,RTVCM,Downtown Community Television Reviews,,,,
45,Hamlyns Limited,Hamlyn Williams Reviews,,,,
46,NETWORK4CARS,Network4Cars,,"Nieuw-Vennep, Netherlands",NLD,Netherlands
47,Diskriter,Diskriter Reviews,,United States,USA,United States
48,"SuperAlloy Industrial Co., Ltd.",Superalloy Manufacturing Solutions,Aerospace & Defense,"Cincinnati, OH",,
49,Alphapointe,Alphapointe,"Civic, Welfare & Social Services","Kansas City, MO",,
50,Arte Radiotelevisivo Argentino (Artear),Arte Radiotelevisivo Argentino,,"Buenos Aires, Argentina",ARG,Argentina
51,Goodman Campbell Brain & Spine,Goodman Campbell Brain & Spine,,"Indianapolis, IN",IND,India
52,Travira Air,Travira Air,Taxi & Car Services,"Jakarta, Indonesia",IDN,Indonesia
53,XEIAD,XEIAD Reviews,,Singapore,SGP,Singapore
54,RateGain,RateGain Reviews,,India,IND,India
55,Tri-Ko,Tri-Ko,,"Osawatomie, KS",,
56,"Faw-Volkswagen Automobile Co., Ltd.",FAW-Volkswagen,Transportation Equipment Manufacturing,"Changchun, China",CHN,China
57,Attica Group,Attica Group,Shipping & Trucking,"Athens, Greece",GRC,Greece
58,SSK Ingeniería Y Construcción S.A.C.,SSK Group,Consumer Product Manufacturing,"Pune, India",IND,India
59,Konradin Mediengruppe GmbH,Konradin Mediengruppe,,"Leinfelden-Echterdingen, Germany",DEU,Germany
60,Pollmann,Pollmann,Consumer Product Manufacturing,"Karlstein an der Thaya, Austria",AUT,Austria
61,Ministry For Foreign Affairs Of The Republic Of Indonesia,Ministry of Foreign Affairs Indonesia,National Services & Agencies,"Jakarta, Indonesia",IDN,Indonesia
62,Banco Caribe,Banco Multiple Caribe,Banking & Lending,"Santo Domingo, Dominican Republic",DOM,Dominican Republic
63,Passero Associates,Passero Associates,Construction,"Rochester, NY",,
64,KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS S.L. SUCURSAL ARGENTINA,Konecta,Management & Consulting,"Asuncion, Paraguay",PRY,Paraguay
65,Asphalion,Asphalion,,"Barcelona, Spain",ESP,Spain
66,Polynt Group,Polynt Group,,"Bergamo, Italy",ITA,Italy
67,Centerline Communication Llc,Centerline Communications Reviews,,United States,USA,United States
68,GomeA,Jerald Gomez & Associates,,"Kuala Lumpur, Malaysia",MYS,Malaysia
69,Otto Dörner GmbH & Co. KG,Otto Dörner,Energy & Utilities,"Hamburg, Germany",DEU,Germany
70,ITS InfoCom,ITS InfoCom,Management & Consulting,"San Jose, Costa Rica",CRI,Costa Rica
71,Friedrich,FRIEDRICH AIR CONDITIONING Reviews,,United States,USA,United States
72,Emil Frey,Emil Frey,Motor Vehicle Dealers,"Zürich, Switzerland",CHE,Switzerland
73,Creative Liquid Coatings INC,Creative Liquid Coatings,Consumer Product Manufacturing,"Fort Wayne, IN",,
74,parrottsims.com,Parrot Reviews,,United States,USA,United States
75,rbroof.com,R&B Roofing (TX),,"Garland, TX",,
76,ch-sf.fr,Chapter SF,Audio/Visual,"San Francisco, CA",,
77,congerbuilt.com,CONGER CONSTRUCTION,Construction,"Lebanon, OH",LBN,Lebanon
78,thorguard.com,Thor Guard,,"Sunrise, FL",,
79,scrd.ca,Sunshine Coast Regional District,Government & Public Administration,"Sechelt, Canada",CAN,Canada
80,franckbeun.fr,Franklab,,"Montigny-le-Bretonneux, France",FRA,France
81,idtech.com.tw,iD Tech Camps,Primary & Secondary Schools,"Campbell, CA",,
82,webnordeste.com.br,Web Nordeste,,Brasil,,
83,psi.com.tw,PSI Reviews,,United States,USA,United States
84,yourprivateitaly.com,Private,Healthcare Services & Hospitals,"Columbus, OH",,
85,software-line.it,LINE Software Engineer Reviews,,,,
86,ducanh.com,Ducan Industries,Wholesale,"Lethbridge, Canada",CAN,Canada
87,uide.edu.ec,Universidad Internacional del Ecuador,,"Quito, Ecuador",ECU,Ecuador
88,marugokiso.co.jp,,,,,
89,ifwglobal.com,IFW,,"Garbsen, Germany",DEU,Germany
90,elementnor.no,Elementor,Internet & Web Services,"Ramat Gan, Israel",ISR,Israel
91,mts.mektec.com,MTS Systems Reviews,,United States,USA,United States
92,okibrasil.com,OKI Reviews,,United States,USA,United States
93,hering-heinz.de,"HKS Los Angeles, CA Reviews",,United States,USA,United States
94,"First bounty payout $50,000",Bounty Fresh Foods,,"Caloocan, Philippines",PHL,Philippines
95,dss-cz.com,DSS Distribution,,,,
96,ces-conditionneur.fr,"Customer Engineering Services Employee Reviews about ""work for ces""",,,,
97,kaffeeberlin.com,Cafe Berlin,,"Columbia, MO",,
98,scottobrothers.com,Scotto Brothers,Hotels & Resorts,"Woodbury, NY",,
99,equatortrustees.com,Equity Trustees Reviews,,,,
100,orioninc.com,Orion Innovation,Information Technology Support Services,"Edison, NJ",,
101,nakamuracorp.co.jp,In.Corp Global,,"Singapore, Singapore",SGP,Singapore
102,aliat.group,Aliat Universidades,Education,"Ciudad de Mexico, Mexico",MEX,Mexico
103,d-securite.com,D-Sécurité,,"Feyzin, France",FRA,France
104,medical69.com,Touch Medical Media Group Holdings,Education Support & Training Services,"London, United Kingdom",GBR,United Kingdom
105,asecna.org,Agence pour la Sécurité de la Navigation Aérienne en Afrique et à Madagascar,,,,
106,markherder.com,Mark Albert Herder Bankruptcy Attorney And Counsellor At Law,,"Columbus, OH",,
107,southamptoncounty.org,Southampton County Public Schools,Primary & Secondary Schools,"Courtland, VA",,
108,cnachile.cl,CNA International Reviews,,United States,USA,United States
109,independence.com.co,Independence (Colombia),,"Bogotá, Colombia",COL,Colombia
110,makler.com.ve,Lugera & Makler Reviews,,,,
111,inspecshawaii.com,Inspec Group,Construction,"Portland, OR",,
112,kcgreenholdings.com,KC Green Holdings,Business Consulting,"Seoul, South Korea",,
113,aipcenergy.com,AIPC Energy,Energy & Utilities,"San Antonio, TX",,
114,cityofbartlett.org,City of Bartlett,Municipal Agencies,"Bartlett, TN",,
115,quintal.com.co,Quintal,,"Jakarta, Indonesia",IDN,Indonesia
116,ville-faulquemont.fr,Groupe Schiever Jobs in Faulquemont (France),,,,
117,sva-avignon.concession-landrover.fr,Jaguar Land Rover,Consumer Product Manufacturing,"Coventry, United Kingdom",GBR,United Kingdom
118,sarassure.fr,ONE Assurance,,"Singapore, Singapore",SGP,Singapore
119,pays-colombey-sudtoulois.fr,,,,,
120,mj-donnais.fr,Showing results for Mj,,,,
121,maleosante.fr,,,,,
122,maisonloisy.fr,Maison Consulting & Solutions Reviews,,Pakistan,PAK,Pakistan
123,lagence33.com,SmartIdea,,"Singapore, Singapore",SGP,Singapore
124,jt-engineering.com,JT Engineering Reviews,,United States,USA,United States
125,euromip.fr,Ing'europ,,"Écully, France",FRA,France
126,euro-modules.fr,Euro,,,,
127,daune.org,Daune Trading,,,,
128,cmb-artimmo.com,CMB International Capital Reviews,Finance,Central,,
129,artdis.fr,Artis Reviews,,,,
130,kwp.at,KWP,Information Technology Support Services,"Scottsdale, AZ",,
131,camdomain.com,CAM Reviews,,,,
132,cultivar.net,Cultivar,Human Resources & Staffing,"Boston, MA",,
133,thezincgroup.com,The Zinc Group Ltd,,"Glasgow, United Kingdom",GBR,United Kingdom
134,mackenzie-law.co.uk,"Baker McKenzie Belfast, UK Reviews",,,,
135,taxprepandmore.com,Inland Revenue Authority of Singapore,National Services & Agencies,"Singapore, Singapore",SGP,Singapore
136,tapcocu.org,TAPCO Credit Union,Banking & Lending,"Tacoma, WA",,
137,idealtridon.com,Ideal Tridon,Metal & Mineral Manufacturing,"Smyrna, TN",,
138,bakkerheftrucks.com,ServiceBack.com,,"Singapore, Singapore",SGP,Singapore
139,hmets.com,HME Technology,Manufacturing,"Bromsgrove, United Kingdom",GBR,United Kingdom
140,americantilestone.com,American Tile Supply,Wholesale,"Dallas, TX",,
141,accionplus.com,Grupo AccionPlus,,"Bogotá, Colombia",COL,Colombia
142,lenax.com,Lenax Construction Services Reviews,,,,
143,casapellas.com,Casa Pellas,,"Managua, Nicaragua",NIC,Nicaragua
144,aresfoods.ca,ARES,Aerospace & Defence,"Burlingame, CA",,
